IssuerName,SecurityId
Ishwarshakti Holdings & Traders Ltd,ISHWATR.NS
Terraform Magnum Limited,TERRAFORM.NS
Apis India Ltd,APIS.NS
Velox Shipping and Logistics Limited,VELOX.NS
EMERGENT INDUSTRIAL SOLUTIONS LIMITED,EMERGENT.NS
Kanani Industries Ltd,KANANIIND.NS
GALAXY CLOUD KITCHENS LIMITED,GCKL.NS
Sarvamangal Mercantile Co. Ltd.,ZSARVAMA.NS
Arihant Superstructures Limited,ARIHANTSUP.NS
Bliss GVS Pharma Limited,BLISSGVS.NS
Styrenix Performance Materials Limited,STYRENIX.NS
Alembic Ltd,ALEMBICLTD.NS
Amines & Plasticizers Ltd,AMNPLST.NS
Anuh Pharma Ltd.,ANUHPHR.NS
MODISON LIMITED,MODISONLTD.NS
Bayer CropScience Limited.,BAYERCROP.NS
Sashwat Technocrats Limited,SASHWAT.NS
Chemo Pharma Laboratories Ltd.,CHEMOPH.NS
Heubach Colorants India Limited,HEUBACHIND.NS
Coromandel International Limited,COROMANDEL.NS
Deepak Nitrite Limited,DEEPAKNTR.NS
DMCC SPECIALITY CHEMICALS LIMITED,DMCC.NS
FERMENTA BIOTECH LIMITED,FERMENTA.NS
GOCL Corporation Limited,GOCLCORP.NS
Jayshree Chemicals Ltd.,JAYCH.NS
Kanoria Chemicals & Industries Ltd.,KANORICHEM.NS
Keltech Energies Ltd.,KELENRG.NS
Kemp & Company Limited,KEMP.NS
Nitta Gelatin India Ltd,NITTAGELA.NS
M.P. Agro Industries Ltd.,MPAGI.NS
AG VENTURES LIMITED,AGVENTURES.NS
PCBL Chemical Limited,PCBL.NS
Amal Ltd,AMAL.NS
Polychem Ltd,POLYCHEM.NS
Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM.NS
ZR2 BIOENERGY LIMITED,ZR2.NS
Sadhana Nitrochem Ltd.,SADHNANIQ.NS
Sudarshan Chemical Indus. Ltd.,SUDARSCHEM.NS
Tecil Chemicals & Hydro Power Limit,TECILCHEM.NS
Ultramarine & Pigments Ltd.,ULTRAMAR.NS
Transpek Industry Ltd.,TRANSPEK.NS
Unichem Laboratories Ltd.,UNICHEMLAB.NS
Mysore Petro Chemicals Ltd.,MYSORPETRO.NS
Alkyl Amines Chemicals Ltd.,ALKYLAMINE.NS
TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LIMITED,TUTIALKA.NS
AstraZeneca Pharma India Ltd.,ASTRAZEN.NS
Primo Chemicals Limited,PRIMO.NS
TANFAC Industries Ltd.,TANFACIND.NS
Gujarat Petrosynthese Ltd.,GUJPETR.NS
Swadeshi Industries Leasing Co. Ltd,SWADEIN.NS
Gujarat Themis Biosyn Ltd.,GUJTHEM.NS
Makers Laboratories Ltd.,MAKERSL.NS
Continental Chemicals Ltd.,CONTCHM.NS
J.B. Chemicals & Pharmaceuticals Lt,JBCHEPHARM.NS
Indo Gulf Industries Ltd.,IGLFXPL-B.NS
Advance Petrochemicals Ltd.,ADVPETR-B.NS
Rajasthan Petro Synthetics Ltd.,RAJSPTR.NS
Apt Packaging Ltd,APTPACK.NS
